INLINE SpellAssociationTable,Item ID,N/A,Chars to Display (1 or 2),N/A,Spell Animation,N/A,Map Effect Proc,Damage,Facing Direction (Map),Color When Hit,N/A
0x50,TorchStaff,0x0,0x1,0x0,0xfffe,0x0,0x89a4bf4,0x0,0x1,0x0,0x0
0x51,Hammerne,0x0,0x2,0x0,0x2f,0x0,0x89a4fcc,0x0,0x0,0x0,0x0
0x52,Berserk,0x0,0x2,0x0,0x30,0x0,0x89a4cc4,0x0,0x0,0x0,0x0
0x53,Unlock,0x0,0x1,0x0,0xfffe,0x0,0x89a4c3c,0x0,0x2,0x0,0x0
0x54,Barrier,0x0,0x2,0x0,0x31,0x0,0x89a518c,0x0,0x0,0x0,0x0
0x55,HeroCrest,0x0,0x2,0x0,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x56,KnightCrest,0x0,0x2,0x0,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x57,OrionBolt,0x0,0x2,0x0,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x58,ElysianWhip,0x0,0x2,0x0,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x59,GuidingRing,0x0,0x2,0x0,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x5a,MasterSeal,0x0,0x2,0x0,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x5b,HeavenSeal,0x0,0x2,0x0,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x5c,0xc1,0x0,0x2,0x0,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x5d,OceanSeal,0x0,0x2,0x0,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x5e,LunarBrace,0x0,0x2,0x0,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x5f,SolarBrace,0x0,0x2,0x0,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x60,Vulnerary,0x0,0x1,0x0,0xfffe,0x0,0x89a49fc,0x1,0x1,0x0,0x0
0x61,Vulnerary2,0x0,0x1,0x0,0xfffe,0x0,0x89a49fc,0x1,0x1,0x0,0x0
0x62,Elixir,0x0,0x1,0x0,0xfffe,0x0,0x89a49a4,0x1,0x1,0x0,0x0
0x63,PureWater,0x0,0x1,0x0,0xfffe,0x0,0x89a495c,0x0,0x1,0x0,0x0
0x64,Torch,0x0,0x1,0x0,0xfffe,0x0,0x89a4bf4,0x0,0x1,0x0,0x0
0x65,Antitoxin,0x0,0x1,0x0,0xfffe,0x0,0x89a4914,0x0,0x1,0x0,0x0
0x6a,Spear,0x0,0x2,0x0,0x3,0x0,0x0,0x1,0x0,0x0,0x0
0x6b,0xc8,0x0,0x2,0x0,0x3,0x0,0x0,0x1,0x0,0x0,0x0
0x6c,Tomahawk,0x0,0x2,0x0,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x6d,Excalibur,0x0,0x2,0x0,0x35,0x0,0x0,0x1,0x0,0x4,0x0
0x6e,Aircalibur,0x0,0x2,0x0,0x1c,0x0,0x0,0x1,0x0,0x4,0x0
0x70,Aura,0x0,0x2,0x0,0x37,0x0,0x0,0x1,0x0,0x5,0x0
0x71,0xc9,0x0,0x2,0x0,0x38,0x0,0x0,0x1,0x0,0x5,0x0
0x72,Luna,0x0,0x2,0x0,0x34,0x0,0x0,0x1,0x0,0x1,0x0
0x73,0xcb,0x0,0x2,0x0,0x36,0x0,0x0,0x1,0x0,0x1,0x0
0x74,0xbe,0x0,0x2,0x0,0x21,0x0,0x0,0x1,0x0,0x5,0x0
0x75,WretchedAir,0x0,0x2,0x0,0x47,0x0,0x0,0x1,0x0,0x2,0x0
0x76,0xca,0x0,0x2,0x0,0x39,0x0,0x0,0x1,0x0,0x1,0x0
0x77,FillaMight,0x0,0x2,0x0,0x3a,0x0,0x0,0x0,0x0,0x2,0x0
0x78,NinisGrace,0x0,0x2,0x0,0x3b,0x0,0x0,0x0,0x0,0x4,0x0
0x79,ThorIre,0x0,0x2,0x0,0x3c,0x0,0x0,0x0,0x0,0x4,0x0
0x7a,SetLitany,0x0,0x2,0x0,0x3d,0x0,0x0,0x0,0x0,0x3,0x0
0x7b,Shadowkiller,0x0,0x2,0x0,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x7c,BrightLance,0x0,0x2,0x0,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x7d,Fiendcleaver,0x0,0x2,0x0,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x7e,BeaconBow,0x0,0x2,0x0,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x7f,WindSword,0x0,0x2,0x0,0x35,0x0,0x0,0x1,0x0,0x4,0x0
0x80,DragonAxe,0x0,0x2,0x0,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x8d,Ivaldi,0x0,0x2,0x0,0x3f,0x0,0x0,0x1,0x0,0x0,0x0
0x8f,Shadowshot,0x0,0x2,0x0,0x44,0x0,0x0,0x1,0x0,0x1,0x0
0x90,Naglfar,0x0,0x2,0x0,0x46,0x0,0x0,0x1,0x0,0x1,0x0
0x91,Shamshir,0x0,0x2,0x0,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x92,Sieglinde,0x0,0x2,0x0,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x93,Reginleif,0x0,0x2,0x0,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x95,Vidofnir,0x0,0x2,0x0,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x97,Siegmund,0x0,0x2,0x0,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x98,Garm,0x0,0x2,0x0,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x99,Nidhogg,0x0,0x2,0x0,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x9a,ShortAxe,0x0,0x2,0x0,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x9b,BattleAxe,0x0,0x2,0x0,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9c,Latona,0x0,0x1,0x0,0x2b,0x0,0x89a489c,0x0,0x1,0x0,0x0
0x9d,Nightmare,0x0,0x2,0x0,0xffff,0x0,0x89a481c,0x0,0x0,0x0,0x0
0x9e,DemonLight,0x0,0x2,0x0,0x40,0x0,0x0,0x1,0x0,0x0,0x0
0x9f,Ravager,0x0,0x2,0x0,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
TERMINATOR,0xff,0xff,0x2,0x0,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
